origin,destination,minimum,rate_under_100,rate_100_299,rate_300_499,rate_500_plus
DXB,AMS,40.0,3.5,2.1,1.8,1.6
BOM,ALG,105.0,5.8,5.15,5.0,4.75
BOM,AMM,65.0,4.15,3.65,3.17,3.0
BOM,ATH,30.0,4.0,2.2,2.2,2.2
BOM,BCN,40.0,4.32,2.1,2.0,1.85
BOM,BEY,55.0,5.75,1.9,1.9,1.9
BOM,CAI,60.0,4.05,3.45,3.0,2.78
BOM,CMN,70.0,4.5,4.0,3.7,3.6
BOM,FCO,60.0,4.2,3.0,3.0,3.0
BOM,IST,75.0,6.53,4.5,3.6,3.38
BOM,LIS,45.0,9.45,3.0,3.0,3.0
BOM,MAD,45.0,5.55,2.6,2.6,2.1
BOM,MLA,37.0,7.0,3.3,3.15,2.89
BOM,MRS,60.0,4.8,3.0,3.0,2.5
BOM,NKC,105.0,6.75,6.0,6.0,5.5
BOM,TLV,125.0,7.0,6.15,6.0,5.5
BOM,TUN,60.0,4.8,3.0,3.0,2.5
BOM,TIP,100.0,5.9,2.6,2.15,2.0
BOM,VLC,56.0,6.5,3.25,3.25,2.63
BOM,BKK,40.0,3.5,2.5,2.0,1.9
BOM,DXB,40.0,2.7,2.35,2.05,1.85
BOM,JED,40.0,2.7,2.5,2.25,2.1
BOM,PUS,40.0,3.5,2.1,1.8,1.6
BOM,HKG,40.0,3.5,2.1,1.8,1.6
BOM,TIA,40.0,3.5,2.1,1.8,1.6
BOM,AMS,40.0,3.5,2.1,1.8,1.6
JED,ALG,105.0,5.8,5.15,5.0,4.75
JED,AMM,65.0,4.15,3.65,3.17,3.0
JED,ATH,30.0,4.0,2.2,2.2,2.2
JED,BCN,40.0,4.32,2.1,2.0,1.85
JED,BEY,55.0,5.75,1.9,1.9,1.9
JED,CAI,60.0,4.05,3.45,3.0,2.78
JED,CMN,70.0,4.5,4.0,3.7,3.6
JED,FCO,60.0,4.2,3.0,3.0,3.0
JED,IST,75.0,6.53,4.5,3.6,3.38
JED,LIS,45.0,9.45,3.0,3.0,3.0
JED,MAD,45.0,5.55,2.6,2.6,2.1
JED,MLA,37.0,7.0,3.3,3.15,2.89
JED,MRS,60.0,4.8,3.0,3.0,2.5
JED,NKC,105.0,6.75,6.0,6.0,5.5
JED,TLV,125.0,7.0,6.15,6.0,5.5
JED,TUN,60.0,4.8,3.0,3.0,2.5
JED,TIP,100.0,5.9,2.6,2.15,2.0
JED,VLC,56.0,6.5,3.25,3.25,2.63
JED,BKK,40.0,3.5,2.5,2.0,1.9
JED,DXB,40.0,2.7,2.35,2.05,1.85
JED,BOM,49.0,3.25,1.35,1.35,1.35
JED,PUS,40.0,3.5,2.1,1.8,1.6
JED,HKG,40.0,3.5,2.1,1.8,1.6
JED,TIA,40.0,3.5,2.1,1.8,1.6
JED,AMS,40.0,3.5,2.1,1.8,1.6
PUS,ALG,105.0,5.8,5.15,5.0,4.75
PUS,AMM,65.0,4.15,3.65,3.17,3.0
PUS,ATH,30.0,4.0,2.2,2.2,2.2
PUS,BCN,40.0,4.32,2.1,2.0,1.85
PUS,BEY,55.0,5.75,1.9,1.9,1.9
PUS,CAI,60.0,4.05,3.45,3.0,2.78
PUS,CMN,70.0,4.5,4.0,3.7,3.6
PUS,FCO,60.0,4.2,3.0,3.0,3.0
PUS,IST,75.0,6.53,4.5,3.6,3.38
PUS,LIS,45.0,9.45,3.0,3.0,3.0
PUS,MAD,45.0,5.55,2.6,2.6,2.1
PUS,MLA,37.0,7.0,3.3,3.15,2.89
PUS,MRS,60.0,4.8,3.0,3.0,2.5
PUS,NKC,105.0,6.75,6.0,6.0,5.5
PUS,TLV,125.0,7.0,6.15,6.0,5.5
PUS,TUN,60.0,4.8,3.0,3.0,2.5
PUS,TIP,100.0,5.9,2.6,2.15,2.0
PUS,VLC,56.0,6.5,3.25,3.25,2.63
PUS,BKK,40.0,3.5,2.5,2.0,1.9
PUS,DXB,40.0,2.7,2.35,2.05,1.85
PUS,BOM,49.0,3.25,1.35,1.35,1.35
PUS,JED,40.0,2.7,2.5,2.25,2.1
PUS,HKG,40.0,3.5,2.1,1.8,1.6
PUS,TIA,40.0,3.5,2.1,1.8,1.6
PUS,AMS,40.0,3.5,2.1,1.8,1.6
HKG,ALG,105.0,5.8,5.15,5.0,4.75
HKG,AMM,65.0,4.15,3.65,3.17,3.0
HKG,ATH,30.0,4.0,2.2,2.2,2.2
HKG,BCN,40.0,4.32,2.1,2.0,1.85
HKG,BEY,55.0,5.75,1.9,1.9,1.9
HKG,CAI,60.0,4.05,3.45,3.0,2.78
HKG,CMN,70.0,4.5,4.0,3.7,3.6
HKG,FCO,60.0,4.2,3.0,3.0,3.0
HKG,IST,75.0,6.53,4.5,3.6,3.38
HKG,LIS,45.0,9.45,3.0,3.0,3.0
HKG,MAD,45.0,5.55,2.6,2.6,2.1
HKG,MLA,37.0,7.0,3.3,3.15,2.89
HKG,MRS,60.0,4.8,3.0,3.0,2.5
HKG,NKC,105.0,6.75,6.0,6.0,5.5
HKG,TLV,125.0,7.0,6.15,6.0,5.5
HKG,TUN,60.0,4.8,3.0,3.0,2.5
HKG,TIP,100.0,5.9,2.6,2.15,2.0
HKG,VLC,56.0,6.5,3.25,3.25,2.63
HKG,BKK,40.0,3.5,2.5,2.0,1.9
HKG,DXB,40.0,2.7,2.35,2.05,1.85
HKG,BOM,49.0,3.25,1.35,1.35,1.35
HKG,JED,40.0,2.7,2.5,2.25,2.1
HKG,PUS,40.0,3.5,2.1,1.8,1.6
HKG,TIA,40.0,3.5,2.1,1.8,1.6
HKG,AMS,40.0,3.5,2.1,1.8,1.6
TIA,ALG,105.0,5.8,5.15,5.0,4.75
TIA,AMM,65.0,4.15,3.65,3.17,3.0
TIA,ATH,30.0,4.0,2.2,2.2,2.2
TIA,BCN,40.0,4.32,2.1,2.0,1.85
TIA,BEY,55.0,5.75,1.9,1.9,1.9
TIA,CAI,60.0,4.05,3.45,3.0,2.78
TIA,CMN,70.0,4.5,4.0,3.7,3.6
TIA,FCO,60.0,4.2,3.0,3.0,3.0
TIA,IST,75.0,6.53,4.5,3.6,3.38
TIA,LIS,45.0,9.45,3.0,3.0,3.0
TIA,MAD,45.0,5.55,2.6,2.6,2.1
TIA,MLA,37.0,7.0,3.3,3.15,2.89
TIA,MRS,60.0,4.8,3.0,3.0,2.5
TIA,NKC,105.0,6.75,6.0,6.0,5.5
TIA,TLV,125.0,7.0,6.15,6.0,5.5
TIA,TUN,60.0,4.8,3.0,3.0,2.5
TIA,TIP,100.0,5.9,2.6,2.15,2.0
TIA,VLC,56.0,6.5,3.25,3.25,2.63
TIA,BKK,40.0,3.5,2.5,2.0,1.9
TIA,DXB,40.0,2.7,2.35,2.05,1.85
TIA,BOM,49.0,3.25,1.35,1.35,1.35
TIA,JED,40.0,2.7,2.5,2.25,2.1
TIA,PUS,40.0,3.5,2.1,1.8,1.6
TIA,HKG,1.6,1.6,1.6,1.6,1.6
TIA,AMS,1.6,1.6,1.6,1.6,1.6
AMS,ALG,105.0,5.8,5.15,5.0,4.75
AMS,AMM,65.0,4.15,3.65,3.17,3.0
AMS,ATH,30.0,4.0,2.2,2.2,2.2
AMS,BCN,40.0,4.32,2.1,2.0,1.85
AMS,BEY,55.0,5.75,1.9,1.9,1.9
AMS,CAI,60.0,4.05,3.45,3.0,2.78
AMS,CMN,70.0,4.5,4.0,3.7,3.6
AMS,FCO,60.0,4.2,3.0,3.0,3.0
AMS,IST,75.0,6.53,4.5,3.6,3.38
AMS,LIS,45.0,9.45,3.0,3.0,3.0
AMS,MAD,45.0,5.55,2.6,2.6,2.1
AMS,MLA,37.0,7.0,3.3,3.15,2.89
AMS,MRS,60.0,4.8,3.0,3.0,2.5
AMS,NKC,105.0,6.75,6.0,6.0,5.5
AMS,TLV,125.0,7.0,6.15,6.0,5.5
AMS,TUN,60.0,4.8,3.0,3.0,2.5
AMS,TIP,100.0,5.9,2.6,2.15,2.0
AMS,VLC,56.0,6.5,3.25,3.25,2.63
AMS,BKK,40.0,3.5,2.5,2.0,1.9
AMS,DXB,40.0,2.7,2.35,2.05,1.85
AMS,BOM,49.0,3.25,1.35,1.35,1.35
AMS,JED,40.0,2.7,2.5,2.25,2.1
AMS,PUS,40.0,3.5,2.1,1.8,1.6
AMS,HKG,1.6,1.6,1.6,1.6,1.6
AMS,TIA,1.6,1.6,1.6,1.6,1.6
